"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"1999","TBD","1833","6272","145","772","728","73","8.7%","16.6%",".137",".312",".274",".343",".411",".333","","92","-7.5","-75.0","-71.2","6.8"
"1950","CIN","1811","5845","99","654","617","37","8.6%","8.5%",".116",".272",".260",".327",".376",".326","","82","5.8","-128.6","11.0","6.8"
"1986","MIL","1616","6126","127","667","625","100","8.7%","16.1%",".130",".288",".255",".321",".385",".316","","91","-0.5","-64.7","-73.9","6.8"
"1980","TOR","1820","6149","126","624","580","67","7.3%","13.2%",".132",".273",".251",".309",".383",".310","","84","-15.8","-129.3","-8.1","6.8"
"1969","CAL","2128","5980","88","528","480","54","8.6%","15.5%",".089",".261",".230",".300",".319",".283","","77","-1.9","-163.0","57.4","6.8"
"1993","FLA","2128","6127","94","581","542","117","8.1%","17.2%",".099",".289",".248",".314",".346",".298","","79","1.5","-161.8","13.1","6.7"
"1954","BAL","1857","5837","52","483","451","30","8.0%","10.9%",".086",".275",".251",".313",".338",".303","","84","-2.1","-114.2","-0.8","6.7"
"1993","CAL","1706","6089","114","684","644","169","9.3%","15.3%",".120",".293",".260",".331",".380",".319","","92","-6.5","-66.5","-59.6","6.7"
"2011","PIT","2444","6064","107","610","580","108","8.1%","21.6%",".123",".301",".244",".309",".368",".299","","88","-15.2","-103.1","-17.8","6.7"
"1890","BUF","1228","5432","20","793","630","160","10.0%","6.8%",".077",".279",".260",".347",".337",".340","","91","-30.5","-118.7","-54.0","6.7"
"2001","PIT","2199","6027","161","657","618","93","7.7%","18.4%",".146",".281",".247",".313",".393",".306","","80","-13.3","-167.4","38.4","6.7"
"1884","WST","1009","4044","4","572","","","2.9%","",".047","",".237",".259",".284",".251","","90","0.0","-60.0","-66.1","6.7"
"2020","PHI","875","2223","82","306","289","35","10.3%","21.6%",".183",".299",".257",".342",".439",".336","","108","3.3","26.3","-18.0","6.6"
"1951","CHC","1925","5862","103","614","572","63","8.1%","11.0%",".114",".269",".250",".315",".364",".316","","80","4.6","-144.1","12.5","6.6"
"1974","DET","1738","6107","131","620","579","67","7.1%","12.8%",".119",".265",".247",".303",".366",".307","","87","0.0","-88.6","-45.3","6.5"
"1946","PHA","1789","5796","40","529","483","39","8.3%","10.3%",".085",".280",".253",".318",".338",".313","","82","-6.4","-124.9","-10.2","6.5"
"1925","PHI","1854","6035","100","812","731","48","7.6%","9.0%",".130",".314",".295",".354",".425",".359","","88","-3.3","-103.4","-36.0","6.5"
"1927","CLE","1696","5843","26","669","616","65","6.5%","6.3%",".096",".301",".283",".337",".379",".336","","84","-22.0","-149.6","7.4","6.5"
"1997","PIT","2211","6201","129","725","686","160","7.8%","18.7%",".142",".308",".262",".329",".404",".324","","89","10.9","-78.3","-51.3","6.5"
"1963","KCA","2004","6172","95","615","582","47","8.6%","13.4%",".107",".273",".247",".313",".353",".299","","82","1.6","-124.2","20.6","6.5"
"1874","CHI","535","2494","4","418","280","32","1.3%","2.2%",".043",".283",".278",".287",".322",".282","","93","0.5","-31.5","8.3","6.5"
"1871","BSN","282","1432","3","401","267","73","4.2%","1.3%",".112",".313",".310",".339",".422",".340","","111","3.2","40.8","1.9","6.5"
"1996","KCR","1753","6229","123","746","689","195","8.5%","15.1%",".132",".299",".267",".332",".398",".322","","83","-0.8","-148.3","-19.7","6.4"
"1920","PHI","1677","5742","64","565","483","100","4.9%","9.2%",".100",".283",".263",".305",".364",".315","","79","2.0","-130.4","10.1","6.4"
"1881","BSN","756","3026","5","349","252","","3.6%","6.4%",".065",".268",".251",".279",".317",".276","","90","0.0","-41.6","-7.6","6.4"
"1935","BSN","1775","5761","75","575","544","20","6.1%","7.6%",".099",".275",".263",".311",".362",".312","","86","2.3","-97.1","-34.2","6.4"
"2001","TBD","1750","6104","121","672","645","115","7.5%","18.3%",".130",".303",".258",".320",".388",".309","","86","0.1","-105.1","-41.0","6.4"
"1968","WAS","2121","5971","124","524","489","29","7.6%","16.1%",".112",".249",".224",".287",".336",".286","","91","-0.3","-52.4","-59.5","6.4"
"1953","CHC","1946","5873","137","633","588","49","8.8%","12.7%",".138",".281",".260",".328",".399",".331","","86","6.0","-102.2","-22.1","6.4"
"1931","PHI","1763","5935","81","684","649","42","7.4%","8.3%",".120",".296",".279",".336",".400",".340","","85","7.2","-106.7","-15.0","6.3"
"1997","TOR","1834","6109","147","654","627","134","8.0%","18.6%",".146",".280",".244",".310",".389",".308","","81","5.6","-146.0","-4.2","6.3"
"1957","CHC","2045","5947","147","628","590","28","7.8%","16.6%",".135",".273",".244",".305",".380",".306","","84","-0.4","-118.8","3.3","6.3"
"1968","HOU","1941","5994","66","510","473","44","8.0%","16.5%",".086",".270",".231",".298",".317",".281","","87","-7.8","-84.9","-73.3","6.3"
"2008","PIT","2340","6278","153","735","705","57","7.6%","16.5%",".145",".290",".258",".320",".403",".317","","89","0.1","-89.2","-48.6","6.3"
"1930","CHW","1825","5992","63","729","679","74","6.5%","8.0%",".116",".294",".276",".329",".392",".327","","84","-4.9","-143.9","-10.8","6.3"
"1882","TRO","766","3166","12","430","313","","3.4%","9.4%",".088",".268",".244",".270",".333",".274","","96","0.0","-18.7","-19.7","6.3"
"1927","SLB","1745","5900","55","724","657","90","7.6%","7.1%",".105",".292",".276",".339",".381",".338","","82","-14.5","-155.3","8.3","6.3"
"1946","SLB","1885","5920","84","621","576","23","7.8%","12.0%",".105",".277",".251",".313",".356",".318","","81","-11.4","-140.6","-0.3","6.2"
"2018","SFG","2412","6113","133","603","573","77","7.3%","24.0%",".129",".299",".239",".300",".368",".290","","82","-2.9","-140.4","7.9","6.2"
"1943","BSN","1659","5773","39","465","433","56","8.0%","10.4%",".075",".258",".233",".298",".309",".295","","75","9.0","-152.2","47.1","6.2"
"1938","SLB","1722","6048","92","755","713","51","9.7%","8.7%",".116",".298",".281",".355",".397",".351","","85","-9.9","-145.3","-21.0","6.2"
"1994","COL","1604","4493","125","573","540","91","8.4%","16.9%",".165",".308",".274",".337",".439",".337","","87","-5.1","-81.3","-5.8","6.2"
"2018","DET","2323","6029","135","630","597","70","7.1%","22.2%",".138",".293",".241",".300",".380",".295","","83","6.4","-118.5","-20.5","6.2"
"1906","DET","1438","5474","10","517","404","206","6.1%","",".063","",".242",".295",".306",".296","","87","6.1","-68.0","-61.1","6.2"
"1923","BSN","1800","5957","32","636","569","57","7.2%","6.8%",".080",".291",".273",".331",".353",".324","","84","-9.1","-131.7","-13.0","6.1"
"2019","BAL","2386","6189","213","729","698","84","7.5%","23.2%",".168",".293",".246",".310",".415",".308","","88","2.0","-91.4","-63.8","6.1"
"1948","CIN","1884","5699","104","588","548","42","8.4%","10.2%",".118",".262",".247",".313",".365",".319","","82","6.2","-122.1","-3.3","6.1"
"1873","BKA","497","2263","6","366","244","19","2.3%","1.9%",".048",".269",".266",".283",".314",".278","","92","0.6","-36.7","14.2","6.1"
"1980","CHW","1912","6001","91","587","547","68","6.6%","11.2%",".111",".278",".259",".311",".370",".305","","86","-8.5","-108.6","-31.8","6.1"
"1974","NYM","2041","6226","96","572","538","43","9.6%","11.8%",".094",".254",".235",".311",".329",".297","","85","1.1","-107.1","-35.8","6.1"
"1901","BSN","1310","5218","28","533","449","158","5.8%","",".061","",".249",".298",".310",".293","","75","-1.6","-176.0","44.7","6.1"
"1992","LAD","2296","6038","72","548","499","142","8.3%","14.9%",".090",".284",".248",".313",".339",".298","","90","-3.0","-72.2","-65.0","6.1"
"1971","SDP","2031","5935","96","486","447","70","7.4%","16.3%",".100",".267",".233",".293",".332",".286","","81","-1.4","-124.5","-14.0","6.1"
"1945","PHA","1717","5862","33","494","439","25","7.7%","7.8%",".071",".263",".245",".306",".316",".301","","79","-15.4","-152.9","29.6","6.1"
"1956","BAL","1988","5788","91","571","515","39","9.7%","12.5%",".106",".267",".244",".320",".350",".305","","84","-5.8","-125.7","-9.9","6.0"
"1956","WAS","1999","6043","112","652","612","37","11.4%","14.5%",".126",".280",".250",".341",".377",".325","","90","-2.5","-76.9","-68.7","6.0"
"1930","SLB","1672","5946","75","751","691","93","8.4%","9.2%",".123",".288",".268",".333",".391",".329","","79","-16.8","-194.1","32.4","6.0"
"1936","PHI","1817","6040","103","726","682","50","7.5%","9.7%",".119",".300",".281",".339",".401",".342","","85","7.4","-112.4","-24.2","6.0"
"1982","CIN","2169","6100","82","545","496","131","7.7%","13.4%",".099",".280",".251",".310",".350",".297","","82","-0.9","-125.8","-21.9","6.0"
"1933","CIN","1708","5653","34","496","455","30","6.2%","6.3%",".074",".259",".246",".298",".320",".292","","78","5.0","-138.0","28.6","6.0"
"1939","PHA","1852","5965","98","711","667","60","8.4%","8.9%",".129",".286",".271",".336",".400",".340","","86","-5.3","-121.1","-33.9","6.0"
"1976","CHC","2169","6155","105","611","559","74","8.0%","13.5%",".105",".277",".251",".313",".356",".308","","83","-14.2","-133.8","-12.0","5.9"
"1966","NYM","2157","5951","98","587","534","55","7.5%","16.7%",".103",".276",".239",".301",".342",".287","","81","-3.5","-138.7","-8.7","5.9"
"1893","LOU","1164","5105","19","759","616","203","9.5%","6.0%",".083",".275",".260",".338",".343",".334","","88","-1.6","-108.6","-25.7","5.9"
"1977","CHC","2198","6286","111","692","649","64","8.5%","12.7%",".121",".290",".266",".330",".387",".318","","83","-0.8","-134.6","-11.8","5.9"
"1902","NYG","1325","4967","8","401","336","188","5.1%","",".052","",".238",".283",".290",".279","","77","9.1","-119.1","4.4","5.9"
"1918","BRO","1260","4578","10","360","303","113","4.6%","7.1%",".065",".269",".250",".291",".315",".297","","82","0.4","-83.5","-2.5","5.8"
"2012","HOU","2421","6014","146","583","545","105","7.7%","22.7%",".135",".288",".236",".302",".371",".296","","82","-16.9","-144.4","17.7","5.8"
"1877","CHI","540","2330","0","366","248","","2.4%","4.8%",".061",".293",".278",".296",".340",".294","","96","0.0","-15.3","-3.9","5.7"
"2004","MON","2289","6138","151","635","605","109","8.1%","15.1%",".143",".273",".249",".313",".392",".306","","77","-0.7","-184.6","36.0","5.7"
"1883","PIT","888","3771","13","525","1","","4.3%","",".076","",".247",".280",".324",".275","","96","0.0","-22.7","-56.1","5.6"
"1973","SDP","2063","5985","112","548","516","88","6.7%","16.1%",".107",".276",".244",".296",".351",".293","","82","6.0","-115.2","-20.1","5.6"
"1911","BSN","1656","6044","37","699","594","169","9.2%","9.5%",".088",".294",".267",".340",".355",".338","","89","-10.6","-91.9","-52.7","5.6"
"2020","DET","882","2076","62","249","242","19","7.1%","27.3%",".152",".314",".245",".303",".397",".303","","90","-2.3","-27.6","-8.0","5.6"
"1998","PIT","2162","6113","107","650","613","159","6.4%","17.3%",".121",".294",".254",".311",".374",".304","","78","9.6","-160.3","24.9","5.6"
"1977","OAK","2009","6021","117","605","548","176","8.6%","15.1%",".112",".267",".240",".308",".352",".297","","84","3.4","-107.8","-40.3","5.6"
"1871","WSO","290","1401","6","310","214","48","3.4%","0.9%",".092",".277",".277",".302",".369",".301","","93","0.6","-24.0","28.2","5.5"
"1973","TEX","1691","6113","110","619","574","91","8.2%","12.9%",".106",".278",".255",".318",".361",".310","","92","0.3","-52.8","-103.0","5.5"
"1995","TOR","1477","5650","140","642","613","75","8.7%","16.0%",".149",".290",".260",".328",".409",".326","","91","6.7","-60.1","-75.1","5.5"
"2013","CHW","2279","6077","148","598","574","105","6.8%","19.9%",".129",".291",".249",".302",".378",".299","","85","-12.7","-117.5","-29.0","5.5"
"1993","MIN","1742","6209","121","693","642","83","7.9%","13.7%",".121",".291",".264",".327",".385",".319","","90","-6.6","-79.2","-63.3","5.5"
"2010","HOU","2358","6005","108","611","577","100","6.9%","17.1%",".115",".285",".247",".303",".362",".295","","79","-6.4","-156.6","27.6","5.4"
"1871","PHN","253","1327","9","376","250","56","3.5%","1.7%",".115",".321",".320",".344",".435",".346","","111","3.1","38.2","-3.8","5.4"
"1889","KCC","1271","5443","18","852","621","472","7.9%","11.5%",".074",".288",".254",".322",".328",".317","","83","32.9","-116.4","-38.8","5.4"
"1890","CLE","1232","5172","21","630","489","152","9.6%","9.2%",".068",".254",".232",".312",".299",".305","","84","-23.5","-148.9","23.5","5.4"
"2020","SEA","843","2181","60","254","244","50","9.5%","25.0%",".144",".281",".226",".309",".370",".298","","91","7.0","-16.2","-5.7","5.4"
"1902","DET","1293","5139","22","566","488","130","7.0%","",".068","",".251",".312",".320",".308","","79","-6.7","-154.3","18.4","5.4"
"1909","BRO","1510","5579","16","442","370","141","5.9%","",".068","",".229",".279",".297",".285","","82","-5.2","-112.6","-24.8","5.3"
"1969","SEA","2271","6205","125","639","583","167","10.1%","16.4%",".112",".266",".234",".316",".346",".304","","86","13.3","-84.1","-50.4","5.3"
"1937","SLB","1765","6123","71","715","682","30","8.4%","8.3%",".114",".305",".285",".348",".399",".346","","84","-9.5","-152.6","-14.9","5.3"
"2020","TOR","910","2263","88","302","288","33","9.0%","22.4%",".186",".297",".255",".325",".441",".329","","104","-2.9","7.8","-14.2","5.3"
"1929","BOS","1937","5779","28","605","561","86","7.2%","8.5%",".099",".291",".267",".325",".366",".320","","79","-21.1","-185.2","24.6","5.3"
"1908","BRO","1512","5415","28","375","306","113","6.0%","",".064","",".213",".266",".277",".269","","79","-7.0","-119.3","-0.1","5.3"
"1959","PHI","1949","5735","113","599","560","39","8.7%","15.0%",".120",".269",".242",".312",".362",".301","","80","-8.8","-155.9","8.8","5.3"
"1906","BOS","1500","5645","13","463","408","99","5.3%","",".068","",".237",".284",".304",".289","","84","-14.8","-110.7","-28.3","5.3"
"1882","STL","713","2977","11","399","46","","3.8%","",".071","",".231",".260",".302",".257","","91","0.0","-38.4","-21.4","5.3"
"2020","HOU","860","2229","69","279","268","22","8.6%","19.7%",".168",".273",".240",".312",".408",".311","","98","-0.6","-5.1","-19.9","5.2"
"1907","STL","1464","5514","18","419","331","125","5.7%","",".056","",".232",".283",".288",".283","","81","-7.2","-118.7","-12.3","5.2"
"1902","PHI","1309","5126","5","484","389","108","6.9%","",".046","",".247",".305",".292",".293","","87","-11.3","-88.2","-39.2","5.2"
"1878","IND","567","2364","3","293","197","","2.7%","8.3%",".050",".257",".236",".256",".286",".254","","92","0.0","-25.3","-0.1","5.2"
"1912","BSN","1625","6031","35","693","605","137","7.5%","11.4%",".087",".308",".273",".335",".361",".336","","85","-16.4","-133.2","-23.4","5.2"
"1971","CLE","2188","6061","109","543","507","57","7.7%","14.3%",".104",".264",".238",".300",".342",".294","","78","-1.1","-146.7","12.1","5.2"
"1877","STL","541","2235","1","284","198","","2.6%","6.6%",".058",".261",".244",".263",".302",".261","","91","0.0","-31.4","7.1","5.1"
"2003","NYM","2361","6007","124","642","607","70","8.1%","17.2%",".128",".282",".247",".314",".374",".302","","80","-4.4","-155.5","10.6","5.1"
"1874","PWS","525","2463","2","476","321","27","1.1%","1.3%",".076",".281",".278",".286",".354",".291","","100","-4.4","-3.3","-25.9","5.1"
"1903","BSN","1319","5240","25","575","479","159","7.6%","",".074","",".245",".312",".318",".305","","83","-2.9","-118.7","-26.1","5.1"
"1961","PHI","2090","5870","103","584","549","56","8.1%","15.8%",".114",".276",".243",".310",".357",".299","","77","0.8","-168.8","22.4","5.0"
"1915","PHA","1647","5708","16","545","440","127","7.6%","11.1%",".074",".268",".237",".304",".311",".302","","85","-10.0","-104.4","-47.7","4.9"
"1871","NYM","297","1437","1","302","213","46","2.3%","1.0%",".063",".290",".287",".303",".350",".297","","96","-1.3","-15.6","16.0","4.9"
"1915","BAL","1667","5745","36","550","465","128","8.2%","10.8%",".081",".272",".244",".313",".325",".313","","85","22.1","-71.3","-41.9","4.9"
"1953","SLB","1955","5876","112","555","522","17","8.6%","11.0%",".114",".266",".249",".317",".363",".313","","77","-5.9","-176.8","27.2","4.9"
"1913","NYY","1644","5614","8","529","430","203","9.5%","11.0%",".055",".270",".237",".320",".292",".303","","81","-0.8","-121.8","-10.5","4.8"
"1872","TRO","225","1105","5","273","185","9","0.6%","1.3%",".081",".301",".301",".305",".382",".312","","103","-0.9","6.5","8.2","4.8"
"2020","ARI","862","2238","58","269","255","23","8.1%","20.6%",".150",".282",".241",".312",".391",".306","","87","5.5","-31.2","1.1","4.8"
"1947","SLB","1760","5819","90","564","526","69","10.0%","11.4%",".109",".261",".241",".320",".350",".317","","80","-7.0","-142.5","3.2","4.7"
"1931","BOS","1785","5864","37","625","572","43","6.9%","9.6%",".087",".287",".262",".315",".349",".311","","76","-11.3","-199.9","31.9","4.7"
"1894","STL","1242","5092","54","771","650","190","8.7%","5.7%",".121",".297",".286",".354",".408",".355","","84","-8.9","-167.0","-6.3","4.7"
"1991","CLE","1720","6070","79","576","546","84","7.4%","14.6%",".096",".288",".254",".313",".350",".301","","85","-6.3","-115.8","-32.8","4.7"
"1909","SLB","1546","5487","10","443","351","136","6.0%","",".048","",".232",".287",".279",".282","","82","-8.9","-108.9","-8.1","4.7"
"1884","BRO","990","3958","16","476","0","","4.5%","",".067","",".225",".263",".292",".258","","86","0.0","-81.1","-4.9","4.7"
"1885","BSN","1022","4140","22","528","375","","4.6%","12.6%",".080",".262",".232",".267",".312",".271","","92","0.0","-44.2","-51.2","4.6"
"1873","NYM","480","2256","5","424","263","15","1.9%","1.0%",".062",".282",".281",".294",".343",".294","","95","3.5","-18.4","-11.8","4.6"
"1888","WAS","1228","4835","30","482","373","331","5.1%","10.3%",".063",".228",".208",".255",".271",".252","","79","9.3","-128.8","-11.6","4.6"
"1876","LOU","622","2594","6","280","191","","0.9%","3.8%",".044",".258",".249",".256",".294",".255","","78","0.0","-85.8","35.0","4.6"
"1934","CHW","1671","5995","71","704","668","36","9.4%","8.7%",".100",".281",".263",".336",".363",".328","","81","-7.4","-163.9","-3.7","4.5"
"1959","WAS","1968","5734","163","619","580","51","9.0%","15.4%",".143",".255",".237",".308",".379",".308","","86","-1.6","-95.5","-26.4","4.5"
"1978","ATL","2093","6066","123","600","558","90","9.1%","14.4%",".119",".269",".244",".315",".363",".308","","81","-6.2","-137.6","-20.3","4.5"
"1910","BRO","1616","5782","25","497","408","151","7.5%","12.2%",".076",".261",".229",".294",".305",".297","","79","-7.1","-150.1","-4.5","4.4"
"1910","CHW","1585","5660","7","456","351","183","7.1%","",".050","",".211",".275",".261",".268","","72","0.9","-159.2","38.7","4.4"
"1901","CIN","1334","5392","38","561","476","137","6.0%","",".087","",".251",".303",".338",".305","","84","-5.8","-116.2","-34.0","4.4"
"2020","CIN","889","2123","90","243","237","29","11.3%","25.2%",".191",".245",".212",".312",".403",".312","","88","-6.0","-38.1","-11.7","4.4"
"1884","IND","1001","3960","20","462","17","","3.2%","",".082","",".233",".262",".315",".265","","90","0.0","-57.9","-28.6","4.4"
"1967","NYM","2160","5928","83","498","461","58","6.1%","16.5%",".087",".274",".238",".288",".325",".276","","76","-1.2","-155.0","-4.7","4.3"
"1948","CHW","1816","5871","55","558","532","46","10.1%","9.0%",".080",".271",".251",".329",".331",".317","","79","-13.1","-173.4","18.8","4.3"
"1936","SLB","1827","6107","79","804","761","62","10.2%","10.3%",".124",".304",".279",".356",".403",".353","","84","0.3","-153.1","-28.4","4.3"
"2011","MIN","2269","6020","103","619","572","92","7.3%","17.4%",".113",".288",".247",".306",".360",".296","","82","-6.5","-133.4","-25.8","4.3"
"1973","CHC","2097","6070","117","614","570","65","9.5%","14.1%",".111",".272",".247",".320",".357",".307","","81","-6.9","-139.1","-10.9","4.2"
"1885","BUF","1011","4079","23","495","365","","4.4%","9.3%",".082",".274",".251",".284",".333",".288","","96","0.0","-25.5","-69.9","4.2"
"1930","PHI","1875","6288","126","944","884","34","7.2%","7.3%",".143",".326",".315",".367",".458",".370","","89","6.3","-103.8","-61.7","4.2"
"1875","NYM","640","2704","7","328","211","20","0.7%","1.7%",".054",".238",".236",".241",".290",".242","","93","-4.7","-33.8","-14.3","4.2"
"2020","MIL","906","2188","75","247","238","15","10.1%","26.6%",".166",".278",".223",".313",".389",".307","","89","-17.6","-49.3","-5.7","4.2"
"1905","BRO","1468","5604","29","506","430","186","5.8%","",".071","",".246",".297",".317",".299","","87","2.0","-84.6","-78.0","4.2"
"1916","PHA","1618","5603","19","447","380","151","7.2%","11.3%",".071",".274",".242",".303",".313",".301","","85","-3.6","-94.1","-43.4","4.1"
"1986","SEA","1653","6187","158","718","681","93","9.2%","18.6%",".145",".292",".253",".326",".399",".323","","94","-12.4","-56.0","-111.5","4.1"
"1932","CHW","1820","5897","36","667","608","89","7.8%","6.5%",".092",".283",".267",".328",".360",".318","","80","-9.7","-173.5","4.0","4.1"
"1884","PHK","606","2621","7","414","","","3.9%","",".079","",".245",".275",".324",".275","","103","0.0","12.9","-90.5","4.1"
"1908","NYH","1565","5533","13","458","372","231","5.2%","",".056","",".236",".283",".291",".283","","80","13.6","-91.6","-50.8","4.1"
"1871","CHI","253","1256","10","302","193","69","4.8%","1.8%",".104",".269",".270",".305",".374",".304","","95","-2.4","-18.6","14.0","4.0"
"1949","WAS","1884","5912","81","584","546","46","10.0%","8.4%",".102",".268",".254",".333",".356",".327","","83","-5.9","-139.7","-20.4","4.0"
"1891","MIL","329","1407","13","227","165","47","7.6%","8.1%",".100",".279",".261",".333",".361",".338","","88","-3.7","-30.7","13.5","4.0"
"1919","PHI","1453","5220","42","510","436","114","6.2%","9.0%",".091",".271",".251",".303",".342",".309","","85","-1.0","-82.2","-34.6","4.0"
"1901","NYG","1350","5260","19","544","458","133","5.8%","",".065","",".253",".303",".318",".298","","83","-7.2","-125.3","-25.0","4.0"
"2020","BAL","906","2242","77","274","264","19","7.3%","22.9%",".171",".309",".258",".321",".429",".323","","102","-4.1","1.2","-21.0","3.9"
"1963","WAS","2091","6069","138","578","538","68","8.2%","15.9%",".124",".251",".227",".293",".351",".289","","80","4.9","-132.2","7.5","3.9"
"2011","SEA","2090","5972","109","556","534","125","7.3%","21.4%",".115",".283",".233",".292",".348",".283","","80","11.9","-124.4","-36.6","3.9"
"1956","KCA","2062","5859","112","619","584","40","8.2%","12.4%",".118",".272",".252",".315",".370",".308","","77","-0.8","-176.1","17.8","3.9"
"1935","SLB","1814","6086","73","718","674","45","9.7%","9.2%",".114",".290",".270",".344",".384",".339","","82","-4.0","-157.1","-9.4","3.8"
"1960","KCA","1965","5858","110","615","566","16","8.8%","12.7%",".117",".271",".249",".316",".366",".308","","81","0.8","-133.8","0.8","3.8"
"1910","BSN","1655","5710","31","495","421","152","6.3%","9.5%",".071",".270",".246",".301",".317",".305","","74","-7.7","-181.4","27.8","3.8"
"1981","CLE","1186","3952","39","431","397","119","8.7%","9.6%",".088",".282",".263",".327",".351",".311","","94","10.2","-16.7","-72.6","3.8"
"1874","BKA","507","2200","1","301","184","11","1.4%","2.3%",".030",".235",".230",".240",".259",".233","","81","0.9","-76.1","21.5","3.7"
"1909","WAS","1672","5541","9","382","306","136","5.8%","",".052","",".223",".276",".275",".274","","79","-6.7","-124.9","-1.0","3.7"
"1891","CKE","965","4038","28","549","407","164","10.6%","9.5%",".085",".256",".234",".322",".320",".319","","82","-5.4","-117.9","-15.0","3.7"
"1978","TOR","1721","6015","98","590","551","28","7.4%","10.7%",".108",".267",".250",".308",".359",".304","","84","-13.6","-121.8","-36.2","3.7"
"1982","TEX","1697","6021","115","590","558","63","7.4%","12.5%",".110",".269",".249",".308",".359",".301","","86","-5.1","-106.7","-48.0","3.7"
"1960","PHI","2007","5748","99","546","503","45","7.8%","18.3%",".112",".281",".239",".302",".351",".294","","79","-8.2","-148.7","-3.1","3.7"
"1930","BOS","1773","5805","47","612","533","42","6.1%","9.6%",".101",".287",".263",".312",".364",".308","","71","-9.2","-249.6","61.4","3.6"
"2020","MIA","904","2167","60","263","247","51","8.8%","24.8%",".141",".306",".244",".319",".384",".308","","95","4.0","-10.6","-10.7","3.6"
"1914","SLT","1649","5791","26","565","480","113","8.7%","11.4%",".079",".279",".247",".319",".326",".316","","83","5.3","-113.3","-43.3","3.6"
"1885","BAL","996","4141","17","541","380","","6.7%","",".077","",".219",".280",".296",".274","","88","0.0","-70.8","-46.4","3.5"
"1871","TRO","261","1297","6","351","241","62","3.8%","1.5%",".110",".309",".308",".334",".417",".335","","108","-6.1","18.1","-11.9","3.5"
"1927","BRO","1702","5752","39","541","499","106","6.4%","8.6%",".089",".274",".253",".306",".342",".304","","74","17.5","-175.2","25.5","3.5"
"2020","WSN","870","2218","66","293","279","33","8.7%","20.3%",".170",".308",".264",".336",".433",".330","","104","-3.6","7.4","-31.8","3.4"
"1976","MON","2236","5996","94","531","507","86","7.2%","14.0%",".105",".261",".235",".291",".340",".292","","75","-0.5","-169.2","7.5","3.3"
"1878","BSN","540","2255","2","298","194","","1.6%","6.8%",".059",".258",".241",".253",".300",".257","","86","0.0","-43.0","1.1","3.3"
"2000","MIN","1972","6283","116","748","711","90","8.8%","16.3%",".137",".309",".270",".337",".407",".327","","86","-1.9","-121.7","-64.5","3.3"
"1911","BRO","1630","5680","28","539","465","184","7.5%","12.0%",".075",".269",".237",".301",".311",".299","","75","-0.9","-180.2","26.9","3.3"
"2013","MIA","2244","6021","95","513","485","78","7.2%","20.5%",".104",".280",".231",".293",".335",".279","","74","-5.2","-178.9","29.5","3.3"
"1929","BSN","1753","5923","33","657","598","65","6.9%","7.3%",".095",".300",".280",".335",".375",".328","","78","10.8","-178.0","10.4","3.3"
"1921","PHA","1678","6060","82","655","609","69","7.0%","9.4%",".115",".294",".274",".331",".389",".334","","79","6.1","-166.9","-6.4","3.3"
"1941","PHI","1888","5796","64","501","467","65","7.8%","10.3%",".087",".265",".244",".307",".331",".303","","80","10.5","-121.7","-19.4","3.3"
"1899","WAS","1503","5783","47","743","613","176","6.1%","",".091","",".272",".328",".363",".333","","88","-6.7","-110.7","-71.5","3.2"
"1995","DET","1566","5535","159","654","619","73","10.0%","17.8%",".157",".278",".247",".327",".404",".324","","89","-2.4","-82.7","-72.6","3.2"
"1939","PHI","1803","5707","49","553","510","47","7.4%","8.5%",".089",".281",".261",".318",".351",".313","","78","7.1","-148.9","4.3","3.2"
"1883","BAL","874","3696","5","471","7","","4.4%","",".067","",".246",".279",".314",".271","","94","0.0","-35.2","-67.3","3.2"
"1969","SDP","2243","5891","99","468","431","45","7.2%","19.4%",".105",".267",".225",".285",".329",".281","","76","-5.8","-168.6","-1.9","3.2"
"1911","SLB","1570","5632","17","566","473","125","8.2%","",".073","",".239",".307",".311",".303","","77","-12.9","-180.3","12.5","3.1"
"1978","OAK","2132","5914","100","532","492","144","7.3%","13.5%",".106",".271",".245",".303",".351",".298","","87","-15.3","-98.2","-64.3","3.1"
"2016","OAK","2343","6022","169","653","634","50","7.3%","19.0%",".149",".280",".246",".304",".395",".302","","89","-22.2","-100.5","-77.5","3.0"
"1904","BSN","1461","5594","24","491","394","143","5.6%","",".063","",".237",".287",".300",".285","","84","-4.9","-105.3","-61.6","3.0"
"1992","BOS","1741","6187","84","599","567","44","9.6%","14.0%",".101",".276",".246",".321",".347",".306","","83","-11.2","-126.6","-40.1","3.0"
"1980","CHC","2359","6218","107","614","578","93","7.6%","14.7%",".114",".281",".251",".309",".365",".303","","80","-7.5","-145.1","-21.4","3.0"
"1887","WAS","1146","4624","47","601","457","334","5.8%","7.3%",".096",".253",".241",".292",".337",".295","","82","3.8","-133.8","-5.0","3.0"
"2020","COL","888","2257","63","275","264","42","7.1%","24.1%",".148",".316",".257",".311",".405",".307","","77","10.8","-55.8","6.1","2.9"
"1979","TOR","1672","6010","95","613","562","74","7.5%","11.0%",".112",".269",".251",".311",".363",".304","","79","-6.0","-162.5","-6.6","2.9"
"1930","BSN","1755","5870","66","693","631","69","5.7%","6.8%",".112",".294",".281",".326",".393",".325","","75","13.4","-212.6","32.7","2.9"
